序号,类别,算法/文件名称,官方文件名,本地相对路径,大小(字节),状态,SHA256,发布日期,官方下载地址,官方页面
018,网页存档,content_1975896137741635584.html,Call for Proposals for the Next-generation Public-Key Cryptographic Algorithms.html,04-notices/en/html/Call for Proposals for the Next-generation Public-Key Cryptographic Algorithms.html,43931,ok,ebbf89d9f33437a6d0994b2f95e00ad408d21ade9c7f05a2ceff7fbb92f9d7e3,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1975896137741635584.html,
019,网页存档,content_1975892908773478400.html,Call for Proposals for the Next-generation Cryptographic Hash Algorithms.html,04-notices/en/html/Call for Proposals for the Next-generation Cryptographic Hash Algorithms.html,47500,ok,119815f7b3e31751bacd562e7ffd4b2f799bd61d1083ab564d6ff2dbb70b90c2,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1975892908773478400.html,
020,网页存档,content_1937429871393771520.html,The Application Scope of Commercial Cryptography.html,04-notices/en/html/The Application Scope of Commercial Cryptography.html,23200,ok,faa46e32c34d023eff42f1107b09fdab20b8ec87d349999c18b4bcfa8d69a7fc,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1937429871393771520.html,
021,网页存档,content_1937429502295019520.html,Overview of China's Commercial Cryptographic Algorithm Standards.html,04-notices/en/html/Overview of China's Commercial Cryptographic Algorithm Standards.html,48704,ok,2f56ee1414f62d35b2506573346e27a73da1423f734ec7a37aa80936f0a4e289,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1937429502295019520.html,
022,网页存档,content_1937428197396713472.html,Announcement on Launching the Next-generation Commercial Cryptographic Algorithms Program (NGCC).html,04-notices/en/html/Announcement on Launching the Next-generation Commercial Cryptographic Algorithms Program (NGCC).html,23280,ok,25e2953a482a797828972ca4e8ea3387432da5f20e911f67441f7912dad992f1,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1937428197396713472.html,
023,网页存档,content_1937427826414718976.html,Call for Comments on Submission Requirements and Evaluation Criteria for Public-Key Cryptographic Algorithms (Draft).html,04-notices/en/html/Call for Comments on Submission Requirements and Evaluation Criteria for Public-Key Cryptographic Algorithms (Draft).html,28098,ok,e41df094b6c18d81d16836b0ea41f217ab3e9adcb0b28208284210835bddea95,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1937427826414718976.html,
024,网页存档,content_1937427069632253952.html,Call for Comments on Submission Requirements and Evaluation Criteria for Cryptographic Hash Algorithms (Draft).html,04-notices/en/html/Call for Comments on Submission Requirements and Evaluation Criteria for Cryptographic Hash Algorithms (Draft).html,26391,ok,e14f6730c2221b5e08321b23d072242f9e63d41169eae0681f57a129540206c6,,https://www.niccs.org.cn/niccs/Notice/pc/content/content_1937427069632253952.html,
025,网页存档,content_2100859557292625920.html,关于公布新一代商用密码算法全球征集活动公钥密码算法第一轮候选算法名单的通知.html,04-notices/zh/html/关于公布新一代商用密码算法全球征集活动公钥密码算法第一轮候选算法名单的通知.html,138637,ok,246bf44b0634ade1f89014dd96eec207a7ad738ec9453b5c8a6ecb68ef9fa1f8,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/2100859557292625920/content_2100859557292625920.html,
026,网页存档,content_2100870458917867520.html,关于公布新一代商用密码算法全球征集活动密码杂凑算法第一轮候选算法名单的通知.html,04-notices/zh/html/关于公布新一代商用密码算法全球征集活动密码杂凑算法第一轮候选算法名单的通知.html,72577,ok,7177b1bebf359bbd0f6cf127266ad8063f3bd1a6f356cb7bc305d425dd67de99,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/2100870458917867520/content_2100870458917867520.html,
027,网页存档,content_2095697272613974016.html,关于对《分组密码算法提交要求（征求意见稿）》和《分组密码算法评估准则（征求意见稿）》征求意见的通知.html,04-notices/zh/html/关于对《分组密码算法提交要求（征求意见稿）》和《分组密码算法评估准则（征求意见稿）》征求意见的通知.html,31061,ok,5d55fffcf7cfcc2e595f6d679be0a61b91b030338f9624cf0a9b61821ec21d16,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/2095697272613974016/content_2095697272613974016.html,
028,网页存档,content_2066796358054449152.html,关于发布新一代商用密码算法实现自评估指引的通知.html,04-notices/zh/html/关于发布新一代商用密码算法实现自评估指引的通知.html,36211,ok,2f7975c44158762418855289921379012c985ca0f545cc7eab96a914c4ffde37,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/2066796358054449152/content_2066796358054449152.html,
029,网页存档,content_1976155884915003392.html,关于征集新一代公钥密码算法提案的通知.html,04-notices/zh/html/关于征集新一代公钥密码算法提案的通知.html,23894,ok,544ffd4e05c750c51326eeb0904ba218ac235873008dc97aee0611aa88ac7441,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1976155884915003392/content_1976155884915003392.html,
030,网页存档,content_1976158633115258880.html,关于征集新一代密码杂凑算法提案的通知.html,04-notices/zh/html/关于征集新一代密码杂凑算法提案的通知.html,23737,ok,1ed174e199b7875caa9aa993f847c070c25e0b9dce0756bbeeb2cfae51f336f1,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1976158633115258880/content_1976158633115258880.html,
031,网页存档,content_1937424616706805760.html,“商用密码”适用范围.html,04-notices/zh/html/“商用密码”适用范围.html,17381,ok,70d729a737494eb4509bf8e480d52d15cd7c058315bd2fe9f65ec7108b71d26f,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1937424616706805760/content_1937424616706805760.html,
032,网页存档,content_1937424224048648192.html,中国商用密码算法标准概况.html,04-notices/zh/html/中国商用密码算法标准概况.html,44660,ok,8d9255e985e975bb94d90d70f5715ee126b6709ec3df77d3d75d7f115f54b427,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1937424224048648192/content_1937424224048648192.html,
033,网页存档,content_1937422988373135360.html,关于开展新一代商用密码算法征集活动的公告.html,04-notices/zh/html/关于开展新一代商用密码算法征集活动的公告.html,18237,ok,1437cc2f9f5da81e0e428442367a860348987fdace62f81332c8b012ddb7ff1e,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1937422988373135360/content_1937422988373135360.html,
034,网页存档,content_1937422518061633536.html,关于对《公钥密码算法提交要求（征求意见稿）》和《公钥密码算法评估准则（征求意见稿）》征求意见的通知.html,04-notices/zh/html/关于对《公钥密码算法提交要求（征求意见稿）》和《公钥密码算法评估准则（征求意见稿）》征求意见的通知.html,20019,ok,73f8bb9f62774c753573126db7cd8d5f5d34cd05bc72ad1240b35f730fad69c8,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1937422518061633536/content_1937422518061633536.html,
035,网页存档,content_1937421649937174528.html,关于对《密码杂凑算法提交要求（征求意见稿）》和《密码杂凑算法评估准则（征求意见稿）》征求意见的通知.html,04-notices/zh/html/关于对《密码杂凑算法提交要求（征求意见稿）》和《密码杂凑算法评估准则（征求意见稿）》征求意见的通知.html,19723,ok,027aad68e7b375500e19b9c151f5f71415108d8527f0414702f159345a57338f,,https://www.niccs.org.cn/symmbzyjy/tzgg/pc/content/1937421649937174528/content_1937421649937174528.html,
