KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
8192,2,256,128,9,2,0,9,11,0,4,2048,250,1.2988660456443594207451856920893925049204094228218288464168146179932462034108915e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,260,1.3761992394366830021916935989019255922187458178274872047451633324746746078617400e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,270,1.4522130849514176196832661717480214016603716550657771292074250723478289151047915e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,280,1.5230620696770844060394538130333760474655214468972506370154546598224834360680977e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,290,1.5896533778988244097901844046075857874590215376550323358414215002675285368458188e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,300,1.6476355803356817901290649615475942374234901514531321846705323817651468401691390e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,310,1.6995710181040301144239944094236912231861823266768797070208979322252773656218608e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,320,1.7423921081013064394718780530719212239395638646136531824165535851187254576690809e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,330,1.7763459876703954360992418326789298049801000576203143781682653503993922712207092e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,340,1.8065528030346828997257293502125131486771407085402541910165789238410724118251426e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,350,1.8148321267172479782279151607496740055320277000367429047446409155908574779659669e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,360,1.8174274389596962569830560084512186512408588846925896343058675705688737328104529e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,370,1.8092721015664877815638170071323299756094200728942978502961200068903644092378773e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,380,1.7900109236065520074320284223171945838379442870666299009474126771342726383618709e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,390,1.7556761493265514664337463936300916682798013740763727894878740921190894121849737e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,400,1.7221207479032830342702900231362184256264789379971070984585434068787655826333065e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,410,1.6966183924222021620502699642345316795434655345085084654185580374888773494240128e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,420,1.6151952346021523751075361715640119024792500331438324059379130704523941397642503e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,430,1.5520431532035990017662140991810932611180049357220747854273986000573283802341303e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,440,1.4808362778283702912084155534057264779114967515928658514237309916884309836734563e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,450,1.4042701290170807734078119713283903134702408920928654091046226052516014673886811e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,460,1.3264696561787421728762001765846584827187139824284808602196466895823913961096274e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,470,1.2521239493045318512140479990808034268656120295523846814142907796409003193521878e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,480,1.2196770014681340904791741937700567501344856342808831135782761392760951603703640e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,490,1.3697135785195817508466940660664887932214845526505974535005423434932111474591520e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,500,2.3484421695185638089973505579568841105492808839307442863423564865195572834139087e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,510,6.9819112664724324533676793712728366616714526970089040343749668080589995469432196e-37
8192,2,256,128,9,2,0,9,11,0,4,2048,520,2.7505758985221396124983301870170336257779757778243323457416944342902033982438912e-36
8192,2,256,128,9,2,0,9,11,0,4,2048,530,1.1630628516218442842039268344738981599743188785369532534212711144310412688087183e-35
8192,2,256,128,9,2,0,9,11,0,4,2048,540,4.9436901232674824630477827286114292925991112604937047203606301376107475524327247e-35
