KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
4001,2,256,128,9,1,1,9,11,0,5,1000,60,1.9595769467302055522958722763344632938188390847466890939099175981114625786820016e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,70,1.9295392279867521220061385486857986447522043728241432520594975923397675330044542e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,80,1.8772190073954120870449248301367954825045627035076355890564194893689893635590419e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,90,1.7941714945167879657344649779436697238108329158307332788249921226045237104660978e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,100,1.6933567478782515324299390218997025230124093689703960729858512893593713419190315e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,110,1.5570408571462873338615282866840863902877596731054492284992249150161544286078355e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,120,1.4105145529084845926573246717826157897192770639067147177243915357213172356211471e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,130,1.2463170824874920923288999554427594690876533760227173651813774345631509025442367e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,140,1.0788677947413589120232153730420230158412276912889059623684357095929220124723002e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,150,9.1295797279910568700541932350351080923948059569445337437798997548101826977269807e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,160,7.5306422809221014298609674804521449604428872675025007957262162933406564413053835e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,170,6.0592517915728784015999246180816208098995290189200480040470967257121733725081203e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,180,4.7622943973835190640408829805847162410014493070938129622227159938283071254351330e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,190,3.6441985594564791616983716284759305319737942158764798876310376971496047578404839e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,200,2.7412908431732802688931652734783582477658653400804944245267445343046647688706049e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,210,1.9799060747493696832910505571495289818967082693300811864359869484993320879141246e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,220,1.4056267609973770018733682675107996939618393007660745002498897155945840832560792e-50
4001,2,256,128,9,1,1,9,11,0,5,1000,230,9.6926112518956304245235856745344988386715186457446076026380477604346576917325180e-51
4001,2,256,128,9,1,1,9,11,0,5,1000,240,6.5413899352550736338174072983721764222576431123929996288785450033438802328746310e-51
4001,2,256,128,9,1,1,9,11,0,5,1000,250,4.4349023077256525165835791509863720055344609550333961312097339652710845987186541e-51
4001,2,256,128,9,1,1,9,11,0,5,1000,260,6.8254584062883690912780573724947757767304452924105302378580434294492877053961795e-51
4001,3,512,256,9,1,1,9,12,0,8,1000,0,7.1330583739460198072377114473389940174194529098961939482867481641245383110926433e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,10,6.8627479650789192840471739981279210401583088796906951727093651250558943971445628e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,20,6.6412530736758055530631363306058618740331273512714087040478645859801937722621227e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,30,6.2949906978516742096637252877642977015674442225214202708561175023851535496985062e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,40,5.8437833937559337315738181064621285520999337871933800077547985815444486449455950e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,50,5.3090057227509295038228583113061896553475403022463243138284932487077998625780236e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,60,4.7172387276908348457778923253150596690028105702278980162195022321829431329844648e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,70,4.1044782941668225393674918889361522881581121497089413231209961941142392239473399e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,80,3.4979315987371162583381305522092887711904354890501285090031947625244838721560711e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,90,2.9148308629911482402174054958543053973270716900836255731975235072196148792650278e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,100,2.3829722326771471940359123684765225230412038789115312611372530292581828911072608e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,110,1.9000353382948237162151522238430483957553479827127806250714824877590351067911768e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,120,1.4863789979587868199531316468780644409019925855189832270049360098882716442069116e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,130,1.1368509742041241624236034456092772354552909377369377725760615596806009745042901e-46
4001,3,512,256,9,1,1,9,12,0,8,1000,140,8.5172019315010039346735716033403328457172818768115307042010315016444492918159463e-47
4001,3,512,256,9,1,1,9,12,0,8,1000,150,6.2490438749345909965349501946953117310833208846548761530883347907467108201326551e-47
4001,3,512,256,9,1,1,9,12,0,8,1000,160,4.4837644104868786468324310366040769820780175933936831151835275748184899443868949e-47
4001,3,512,256,9,1,1,9,12,0,8,1000,170,3.1477010296679876224592030375801204353433920798857247064526969952986239258484161e-47
4001,3,512,256,9,1,1,9,12,0,8,1000,180,2.1646738314158660903615577036817253481901693758747302868572732861464469741437517e-47
4001,3,512,256,9,1,1,9,12,0,8,1000,190,1.4565815272813525161440257782674852496633565064785625355521890619071490265707429e-47
4001,3,512,256,9,1,1,9,12,0,8,1000,200,9.6432362324696098416347596591927201733681485741609511420182100677487095834539911e-48
4001,3,512,256,9,1,1,9,12,0,8,1000,210,6.1868802985949045702398075530161040807450165101360259425564421355851790282538380e-48
